# GPS Velocities in China. reference frame: ITRF2014        Version: 1.0
# ----------------------------------------------------------------------
# Velocities are extracted from the crustal deformation data of CMONOC:
#
#     Zhao B, et al., Crustal deformation on the Chinese mainland during
#     1998-2004 based on GPS data, Geodesy and Geodynamics (2015)
#     http://dx.doi.org/10.1016/j.geog.2014.12.006
#
# The original horizontal velocities are respect to the Eurasia plate,
# calculte the absolute values by:
#
#     V = ΔV + ω × X
#
# Where V is the absolute velocities vector of one GPS station, ΔV is
# velocities vector respected to Eurasia plate, ω is the Euler vector of
# Eurasia plate in ITRF2008, X is the coordinate vector of the station.
# ----------------------------------------------------------------------
# However, the reference frame of the calculted absolute velocities V is
# ITRF2008, transform them to ITRF2014 by:
#
#              .   .     .
#     V' = V + T + D·X + R·X
#
#       .  .  .
# Where T, D, R are transform parameters from ITRF2008 to ITRF2014, see:
#
#     http://itrf.ensg.ign.fr/doc_ITRF/Transfo-ITRF2014_ITRFs.txt
#
# ----------------------------------------------------------------------
# Units for the records:
#
#     Lat: Latitude in angle degree
#     Lon: Longitude in angle degree
#     Vx: Velocity(mm/yr) in X component
#     Vy: Velocity(mm/yr) in Y component
#     Vz: Velocity(mm/yr) in Z component
#
# ----------------------------------------------------------------------
# Lat     Lon      Vx      Vy      Vz
  39.6   115.9   -30.18   -7.37   -8.12
  31.1   121.2   -30.90  -10.94  -11.28
  30.5   114.4   -32.56   -8.66   -9.72
  29.7    91.1   -46.92   -8.71   13.40
  37.8    75.2   -27.60   -7.50   18.23
  25.0   102.8   -32.55    0.01  -15.83
  34.2   109.0   -29.70   -6.82   -4.98
  37.4    97.4   -35.99   -5.47    0.81
  44.4   130.9   -23.89   -9.11   -9.11
  37.8   107.4   -32.74   -4.43   -7.39
  23.2   113.3   -30.93   -8.80  -10.08
  13.0    77.6   -43.42    1.32   34.03
  52.2   104.3   -25.71   -1.22   -4.15
  43.5    87.2   -32.23   -2.22    3.82
  42.7    74.7   -26.89    3.80    3.53
  43.2    77.0   -27.89    3.60    2.76
   1.3   103.7   -21.69   -5.23  -10.81
  47.9   107.1   -28.54   -2.33   -5.73
  71.6   128.9   -19.40   -2.09   -3.61
  39.1    66.9   -26.62    7.77    3.85
  13.6   144.9     6.06    6.22    4.99
  17.4    78.6   -42.30   -2.14   32.84
  56.4    58.6   -23.99    8.63    3.28
  62.0   129.7   -20.73   -3.55   -5.70
  36.4   127.4   -25.62  -10.43  -10.09
  13.0    77.5   -43.86    1.42   34.34
  -6.5   106.8   -22.74   -8.03   -8.02
